1 4535.0  sell  2023.07.16 22:00:09 1689544809464
1 4535.25  buy  2023.07.16 22:00:09 1689544809595
1 4535.25  buy  2023.07.16 22:00:09 1689544809595
1 4535.25  buy  2023.07.16 22:00:09 1689544809744
2 4535.0  sell  2023.07.16 22:00:09 1689544809964
1 4535.0  sell  2023.07.16 22:00:09 1689544809965
15 4535.0  sell  2023.07.16 22:00:09 1689544809965
2 4534.75  sell  2023.07.16 22:00:09 1689544809965
2 4535.0  buy  2023.07.16 22:00:10 1689544810206
1 4534.75  sell  2023.07.16 22:00:10 1689544810591
1 4534.75  sell  2023.07.16 22:00:11 1689544811564
1 4534.75  sell  2023.07.16 22:00:11 1689544811999
1 4534.75  sell  2023.07.16 22:00:12 1689544812111
1 4534.75  sell  2023.07.16 22:00:12 1689544812111
4 4534.75  sell  2023.07.16 22:00:12 1689544812111
2 4534.75  buy  2023.07.16 22:00:12 1689544812748
1 4534.75  buy  2023.07.16 22:00:13 1689544813598
1 4534.75  buy  2023.07.16 22:00:13 1689544813598
1 4534.5  sell  2023.07.16 22:00:13 1689544813654
1 4534.5  sell  2023.07.16 22:00:14 1689544814477
1 4534.5  sell  2023.07.16 22:00:16 1689544816415
1 4534.5  sell  2023.07.16 22:00:16 1689544816415
2 4534.75  buy  2023.07.16 22:00:16 1689544816879
1 4534.75  buy  2023.07.16 22:00:16 1689544816879
2 4534.75  buy  2023.07.16 22:00:16 1689544816879
1 4534.75  buy  2023.07.16 22:00:17 1689544817097
4 4534.75  buy  2023.07.16 22:00:17 1689544817097
5 4534.75  buy  2023.07.16 22:00:17 1689544817097
1 4534.75  buy  2023.07.16 22:00:17 1689544817097
2 4534.75  buy  2023.07.16 22:00:17 1689544817097
1 4534.75  buy  2023.07.16 22:00:17 1689544817097
1 4534.75  buy  2023.07.16 22:00:17 1689544817097
1 4534.75  sell  2023.07.16 22:00:17 1689544817097
1 4535.0  buy  2023.07.16 22:00:17 1689544817147
1 4535.0  buy  2023.07.16 22:00:17 1689544817147
1 4535.0  buy  2023.07.16 22:00:17 1689544817563
1 4535.0  buy  2023.07.16 22:00:19 1689544819200
1 4535.0  buy  2023.07.16 22:00:19 1689544819229
1 4535.0  buy  2023.07.16 22:00:19 1689544819229
1 4535.0  buy  2023.07.16 22:00:19 1689544819229
1 4535.0  buy  2023.07.16 22:00:19 1689544819229
1 4535.0  buy  2023.07.16 22:00:19 1689544819229
1 4535.0  buy  2023.07.16 22:00:19 1689544819229
1 4535.0  buy  2023.07.16 22:00:19 1689544819241
1 4535.0  buy  2023.07.16 22:00:19 1689544819241
1 4535.0  buy  2023.07.16 22:00:19 1689544819242
1 4535.0  buy  2023.07.16 22:00:19 1689544819262
1 4535.0  buy  2023.07.16 22:00:19 1689544819262
1 4535.0  buy  2023.07.16 22:00:19 1689544819262
2 4534.75  sell  2023.07.16 22:00:19 1689544819436
2 4534.75  sell  2023.07.16 22:00:20 1689544820480
1 4534.75  sell  2023.07.16 22:00:20 1689544820480
1 4534.75  sell  2023.07.16 22:00:20 1689544820739
1 4535.0  buy  2023.07.16 22:00:22 1689544822032
1 4534.75  sell  2023.07.16 22:00:22 1689544822231
